datasetURI,distributionURI,accessURL,mediaType,catalogTitle,,,,
http://data.europa.eu/88u/dataset/segnalazioni-aggiornate-da-terremotocentroitalia,http://data.europa.eu/88u/distribution/4dbec8bc-f502-4dd0-be82-3baddf5ef1f7,https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/issues.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/dgc-acquisiti,http://data.europa.eu/88u/distribution/36630f25-4d0f-42ba-9e0b-400ed2539bba,https://raw.githubusercontent.com/ministero-salute/it-dgc-opendata/master/data/dgc-acquired.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-enti-con-piu-connessioni-abilitate-inizio-del-servizio,http://data.europa.eu/88u/distribution/1c309f74-0318-42bc-85ce-6b1d1bdbfe9c,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/enti_con_piu_connessioni_abilitate_from_the_beginning.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/6e614923-3c94-4828-bb92-49d3da4ae0c5,http://data.europa.eu/88u/distribution/73fc14e1-9c18-4bb8-98d3-c04438368361,https://github.com/dlr-eoc/ukis-data-tutorials,,GDI-DE,,,,
http://data.europa.eu/88u/dataset/65571194-1b1a-4ce1-b169-15942647208c,http://data.europa.eu/88u/distribution/8217a219-d64b-4786-9749-dec58541a8f9,https://raw.githubusercontent.com/wo-ist-markt/wo-ist-markt.github.io/master/cities/karlsruhe.json,application/json,GovData,,,,
http://data.europa.eu/88u/dataset/c8a3a582-49ff-4ed8-8e61-0465f9aca814,http://data.europa.eu/88u/distribution/bec12605-dcd4-462a-bce1-9196dedc49f9,https://digital-twin-wuppertal-live.github.io/rainhazardmap/#/hoehen?bg=1&amp%3Blat=51.27272514043052&amp%3Blng=7.199287712574006&amp%3BselectedSimulation=1&amp%3Bzoom=19,,GovData,,,,
http://data.europa.eu/88u/dataset/pa-digitale-2026-pnrr-candidature-finanziate-1-4-1-esperienza-del-cittadino-nei-servizi-pubblic,http://data.europa.eu/88u/distribution/8bf4ffb4-cbc0-44b0-aab8-4061215bbd0c,https://raw.githubusercontent.com/teamdigitale/padigitale2026-opendata/main/data/candidature_finanziate_141.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-enti-che-pubblicano-piu-e-service-ultimi-6-mesi,http://data.europa.eu/88u/distribution/af031d82-c3d9-4e51-8a46-5d77c84d2f24,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/enti_che_pubblicano_piu_e_service_last_six_months.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pa-digitale-2026-pnrr-candidature-finanziate-scuole,http://data.europa.eu/88u/distribution/4a9b5e7e-02a6-46f5-9947-a5ba586d458e,https://raw.githubusercontent.com/teamdigitale/padigitale2026-opendata/main/data/candidature_scuole_finanziate.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-enti-che-pubblicano-piu-e-service-ultimi-6-mesi,http://data.europa.eu/88u/distribution/1d2f034b-730f-4060-8292-03e83f36f44b,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/enti_che_pubblicano_piu_e_service_last_six_months.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pa-digitale-2026-pnrr-candidature-finanziate-scuole,http://data.europa.eu/88u/distribution/0c6aa348-6edf-4a8b-90ef-65cc632d94cc,https://raw.githubusercontent.com/teamdigitale/padigitale2026-opendata/main/data/candidature_scuole_finanziate.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pa-digitale-2026-pnrr-candidature-finanziate-1-4-1-esperienza-del-cittadino-nei-servizi-pubblic,http://data.europa.eu/88u/distribution/15601db8-8dd6-4af5-97b5-bcd5d51204b0,https://raw.githubusercontent.com/teamdigitale/padigitale2026-opendata/main/data/candidature_finanziate_141.json,application/json,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/13205-luchtfoto-2019-25cm-cir-open-data,http://data.europa.eu/88u/distribution/15f2dbb9-f1e7-4ba4-a0ea-386881cda488,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Beeldmateriaal_LRCIR.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/5723-luchtfoto-2015-10cm-rgb,http://data.europa.eu/88u/distribution/6acfc75e-42c2-4ed2-a1b6-12409ec4d6b7,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Beeldmateriaal_HR.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/6122-top100nl,http://data.europa.eu/88u/distribution/000506e2-e1b5-4a1a-8398-012e30ca9eeb,https://github.com/kadaster/top100nl/raw/master/TOP100NL.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/6577-top50raster,http://data.europa.eu/88u/distribution/5171c454-46d6-4cf8-bb20-e523a1c343bf,https://github.com/kadaster/top50nl/raw/master/TOP50raster.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/8090-luchtfoto-2015-25cm-rgb,http://data.europa.eu/88u/distribution/1bafb990-5766-4ac7-ba32-eb0ed1864669,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Beeldmateriaal_LR.JPG,,Dataportaal van de Nederlandse overheid,,,,
